Destination,State,Category,Best_Season,Average_Budget,Recommended_Trip_Duration,Nearest_Airport,Popularity,Family_Friendly,Adventure_Score
Orchha,Madhya Pradesh,Heritage,Oct-Mar,22000,3,Orchha Airport,High,Yes,3
Almora & Kasar Devi,Uttarakhand,Hill Station,Mar-Jun,35000,5,Almora & Kasar Devi Airport,High,Yes,9
Jibhi & Tirthan,Himachal Pradesh,Nature,Oct-Mar,25000,3,Jibhi & Tirthan Airport,High,Yes,7
Chitkul & Baspa,Himachal Pradesh,Mountain,Mar-Jun,35000,5,Chitkul & Baspa Airport,High,Yes,9
Miyar Valley,Himachal Pradesh,Adventure,Mar-Jun,35000,5,Miyar Valley Airport,High,Yes,9
Keoladeo National Park,Rajasthan,Bird Sanctuary,Oct-Mar,25000,3,Keoladeo National Park Airport,High,Yes,7
Ranganathittu Bird Sanctuary,Karnataka,Bird Sanctuary,Oct-Mar,25000,3,Ranganathittu Bird Sanctuary Airport,High,Yes,7
Nal Sarovar,Gujarat,Bird Sanctuary,Oct-Mar,25000,3,Nal Sarovar Airport,High,Yes,7
Great Rann of Kutch,Gujarat,Desert,Oct-Mar,25000,3,Great Rann of Kutch Airport,High,Yes,5
Maravanthe,Karnataka,Beach,Nov-Feb,30000,4,Maravanthe Airport,High,Yes,6
Astaranga & Ramachandi,Odisha,Beach,Nov-Feb,30000,4,Astaranga & Ramachandi Airport,High,Yes,6
Unakoti,Tripura,Heritage,Oct-Mar,22000,3,Unakoti Airport,High,Yes,3
Mamallapuram,Tamil Nadu,Heritage,Oct-Mar,22000,3,Mamallapuram Airport,High,Yes,3
Hidden Goa Coves,Goa,Beach,Nov-Feb,30000,4,Hidden Goa Coves Airport,High,Yes,6
Bangaram & Kadmat,Lakshadweep,Island,Nov-Feb,30000,4,Bangaram & Kadmat Airport,High,Yes,6
Malanad–Malabar Belt,Kerala,Rural,Oct-Mar,25000,3,Malanad–Malabar Belt Airport,High,Yes,5
Krishna Heritage Circuit,Uttar Pradesh/Gujarat,Spiritual,Oct-Mar,18000,2,Krishna Heritage Circuit Airport,High,Yes,2
Rishikesh & Haridwar Route,Uttarakhand,Spiritual,Oct-Mar,18000,2,Rishikesh & Haridwar Route Airport,High,Yes,2
Varanasi Ganga Ghats,Uttar Pradesh,Spiritual,Oct-Mar,18000,2,Varanasi Ganga Ghats Airport,High,Yes,2
Bodh Gaya,Bihar,Spiritual,Oct-Mar,18000,2,Bodh Gaya Airport,High,Yes,2
Rameswaram,Tamil Nadu,Spiritual,Oct-Mar,18000,2,Rameswaram Airport,High,Yes,2
Hampi & Pattadakal,Karnataka,Heritage,Oct-Mar,22000,3,Hampi & Pattadakal Airport,High,Yes,3
Gulmarg,Jammu & Kashmir,Snow,Mar-Jun,35000,5,Gulmarg Airport,High,Yes,9
Auli,Uttarakhand,Snow,Mar-Jun,35000,5,Auli Airport,High,Yes,9
Tiruvannamalai,Tamil Nadu,Spiritual,Oct-Mar,18000,2,Tiruvannamalai Airport,High,Yes,2
Amarkantak,Madhya Pradesh,Nature,Oct-Mar,25000,3,Amarkantak Airport,High,Yes,7
Haridwar–Char Dham Trail,Uttarakhand,Spiritual,Oct-Mar,18000,2,Haridwar–Char Dham Trail Airport,High,Yes,2
