origin,destination,avg_flight_cost_inr
Kochi,Nagpur,3700
Kochi,Tirupati,2300
Mumbai,Raipur,3200
Mumbai,Kanpur,3600
Mumbai,Udaipur,2600
Mumbai,Chennai,3500
Mumbai,Srinagar,4200
Mumbai,Jabalpur,3200
Mumbai,Jalgaon,2400
Mumbai,Kolhapur,3300
Mumbai,Nanded,3500
Mumbai,Varanasi,3300
Mumbai,Lucknow,4200
Mumbai,Thiruvananthapuram,2800
Mumbai,Rajkot,3900
Mumbai,Visakhapatnam,3200
Mumbai,Patna,3400
Mumbai,Jodhpur,3000
Mumbai,Jaipur,3200
Mumbai,Tirupati,2900
Mumbai,Kishangarh,2800
Mumbai,Surat,2800
Mumbai,Shirdi Airport,3400
Mumbai,Bhopal,3600
Mumbai,Kolkata,4100
Mumbai,Ahmedabad,2900
Mumbai,Bengaluru,2600
Mumbai,Amritsar,3000
Mumbai,Bhavnagar,3500
Mumbai,Delhi,3100
Mumbai,Kochi,4200
Mumbai,Leh,7500
Mumbai,Dehradun,4000
Mumbai,Port Blair,6900
Mumbai,Kannur International Airport,2600
Mumbai,Ranchi,2900
Mumbai,Chandigarh,3700
Mumbai,Jammu,5000
Mumbai,Goa,4200
Mumbai,Hyderabad,4500
Mumbai,Bhuj,3200
Mumbai,Vadodara,4000
Mumbai,Bhubaneswar,3700
Mumbai,Calicut,3000
Mumbai,Agra,3000
Jodhpur,Delhi,2700
Jodhpur,Mumbai,3800
Jodhpur,Belgaum,2000
Jodhpur,Hyderabad,3200
Jodhpur,Ahmedabad,3700
Jodhpur,Jaipur,2500
Jodhpur,Bengaluru,2000
Jodhpur,Indore,3700
Jodhpur,Pune,2200
Jodhpur,Kolkata,2500
Jodhpur,Udaipur,2600
Jodhpur,Chennai,2700
Jaipur,Mumbai,4100
Jaipur,Ahmedabad,2600
Jaipur,Bengaluru,2600
Jaipur,Vadodara,2600
Jaipur,Delhi,3700
Jaipur,Agra,3100
Jaipur,Bhopal,2700
Jaipur,Dehradun,2200
Jaipur,Kolkata,3000
Jaipur,Adampur,3000
Jaipur,Lucknow,4000
Jaipur,Patna,2800
Jaipur,Jodhpur,3800
Jaipur,Ranchi,2900
Jaipur,Indore,3900
Jaipur,Chandigarh,2800
Jaipur,Pune,3700
Jaipur,Udaipur,3900
Jaipur,Chennai,2700
Jaipur,Surat,2300
Jaipur,Pantnagar,3100
Jaipur,Hyderabad,2800
Jaipur,Varanasi,2800
Jaipur,Bagdogra,3900
Jaipur,Guwahati,3500
Jaipur,Belgaum,3800
Jaipur,Bhubaneswar,3300
Jaipur,Bikaner,3600
Jaipur,Nagpur,2500
Jaipur,MIHAN,2800
Jaipur,Raipur,2700
Jaipur,Jaisalmer,3000
Bengaluru,Mumbai,3100
Bengaluru,Kolkata,3800
Bengaluru,Bhubaneswar,2200
Bengaluru,Ahmedabad,3800
Bengaluru,Calicut,2000
Bengaluru,Delhi,3500
Bengaluru,Kochi,3300
Bengaluru,Port Blair,6400
Bengaluru,Kannur International Airport,3200
Bengaluru,Jaipur,2300
Bengaluru,Ranchi,3100
Bengaluru,Guwahati,3300
Bengaluru,Goa,3300
Bengaluru,Hyderabad,3000
Bengaluru,Chandigarh,3300
Bengaluru,Bagdogra,4700
Bengaluru,Indore,2600
Bengaluru,Mangalore,2300
Bengaluru,Coimbatore,2300
Bengaluru,Kalaburgi (Gulbarga),3300
Bengaluru,Belgaum,2900
Bengaluru,Kadapa,2400
Bengaluru,Madurai,3400
Pune,Patna,3700
Pune,Chennai,4200
Pune,Surat,3000
Pune,Jabalpur,3800
Pune,Chandigarh,2500
Pune,Coimbatore,4000
Pune,Goa,4000
Pune,Kolkata,4000
Pune,Mangalore,2900
Pune,Delhi,3500
Pune,Ahmedabad,3800
Pune,Bengaluru,3300
Pune,Kochi,2800
Pune,Bhavnagar,3100
Pune,Nagpur,4000
Pune,MIHAN,2200
Pune,Lucknow,4100
Pune,Jaipur,2600
Pune,Varanasi,3600
Pune,Hyderabad,4000
Pune,Ranchi,3800
Pune,Indore,2400
Pune,Allahabad,3500
Pune,Bhopal,2300
Pune,Bhubaneswar,3900
Pune,Nasik,2700
Pune,Belgaum,2600
Pune,Kishangarh,3700
Pune,Vadodara,3800
Pune,Guwahati,3300
Amritsar,Delhi,3600
Amritsar,Mumbai,2600
Amritsar,Hyderabad,3800
Amritsar,Patna,3400
Amritsar,Nanded,2600
Amritsar,Shimla,6600
Amritsar,Ahmedabad,3500
Amritsar,Bengaluru,3200
Amritsar,Kolkata,3300
Amritsar,Goa,2400
Amritsar,Srinagar,4900
Amritsar,Kullu,6300
Amritsar,Dehradun,2300
Amritsar,Jaipur,3000
Amritsar,Lucknow,2800
Amritsar,Pune,3100
Amritsar,Chennai,2800
Amritsar,Guwahati,2600
Diu,Ahmedabad,3400
Diu,Mumbai,2900
Diu,Surat,3100
Diu,Keshod,3200
Dehradun,Mumbai,2700
Dehradun,Hyderabad,2800
Dehradun,Delhi,2700
Dehradun,Bengaluru,3300
Dehradun,Pithoragarh,2400
Dehradun,Pantnagar,3600
Dehradun,Lucknow,3600
Dehradun,Ahmedabad,3600
Dehradun,Jaipur,3300
Dehradun,Allahabad,2300
Dehradun,Kolkata,3700
Dehradun,Varanasi,2600
Dehradun,Amritsar,2100
Dehradun,Jammu,4900
Dehradun,Bhubaneswar,3600
Dehradun,Pune,3000
Dehradun,Guwahati,3600
Dehradun,Kullu,5800
Dehradun,Kangra,3300
Ahmedabad,Goa,3200
Ahmedabad,Kolkata,3800
Ahmedabad,Srinagar,4000
Ahmedabad,Kandla,3200
Ahmedabad,Aurangabad,2800
Ahmedabad,Jalgaon,3600
Ahmedabad,Indore,4000
Ahmedabad,Jaisalmer,3800
Ahmedabad,Delhi,3900
Ahmedabad,Bagdogra,4900
Ahmedabad,Mumbai,2900
Ahmedabad,Varanasi,2200
Ahmedabad,Amritsar,2900
Ahmedabad,Patna,2800
Ahmedabad,Dehradun,2300
Ahmedabad,Jaipur,3000
Ahmedabad,Ranchi,3300
Ahmedabad,Gwalior,2300
Ahmedabad,Pune,2700
Ahmedabad,Bhopal,2600
Ahmedabad,Bengaluru,2600
Ahmedabad,Hyderabad,3900
Ahmedabad,Bhubaneswar,3200
Ahmedabad,Nagpur,3100
Ahmedabad,MIHAN,2600
Ahmedabad,Lucknow,2800
Ahmedabad,Kochi,3500
Ahmedabad,Kolhapur,3200
Ahmedabad,Diu,3800
Ahmedabad,Agra,2400
Ahmedabad,Jodhpur,3300
Ahmedabad,Raipur,2300
Ahmedabad,Chandigarh,3000
Ahmedabad,Chennai,3000
Ahmedabad,Hubli,2500
Ahmedabad,Bhuj,3200
Ahmedabad,Belgaum,2600
Guwahati,Aizwal,3500
Guwahati,Mumbai,2700
Guwahati,Ahmedabad,3000
Guwahati,Bengaluru,2700
Guwahati,Hyderabad,3800
Guwahati,Delhi,3600
Guwahati,Bagdogra,4100
Guwahati,Jaipur,3800
Guwahati,Silchar,2900
Guwahati,Chennai,2400
Guwahati,Lilabari,6200
Guwahati,Dibrugarh,6500
Guwahati,Kolkata,2400
Guwahati,Dimapur,2200
Guwahati,Imphal,3700
Guwahati,Agartala,3300
Guwahati,Patna,2200
Guwahati,Shillong,2800
Guwahati,Tezu,5900
Guwahati,Rupsi,3500
Guwahati,Lucknow,3500
Guwahati,Jorhat,6000
Guwahati,Passighat,3700
Guwahati,Bhubaneswar,3000
Guwahati,Varanasi,3300
Guwahati,Kochi,3400
Guwahati,Pune,2600
Guwahati,Dehradun,2100
Guwahati,Tezpur,3700
Chennai,Bhubaneswar,2700
Chennai,Ahmedabad,3200
Chennai,Bengaluru,2400
Chennai,Vadodara,3600
Chennai,Kadapa,3000
Chennai,Salem,2400
Chennai,Mysore,2500
Chennai,Hyderabad,2900
Chennai,Delhi,3800
Chennai,Varanasi,3500
Chennai,Calicut,4000
Chennai,Madurai,3200
Chennai,Kochi,3200
Chennai,Mumbai,3400
Chennai,Port Blair,7600
Chennai,Vijayawada,3100
Chennai,Tuticorin,2600
Chennai,Pune,3700
Chennai,Guwahati,2700
Chennai,Coimbatore,3100
Chennai,Goa,4000
Chennai,Kolkata,3200
Chennai,Shirdi Airport,2500
Chennai,Thiruvananthapuram,3500
Chennai,Patna,3000
Chennai,Jaipur,3300
Chennai,Indore,3800
Chennai,Visakhapatnam,4100
Chennai,Tiruchirappalli,2800
Chennai,Mangalore,3500
Chennai,Nagpur,2800
Chennai,Bagdogra,5500
Chennai,MIHAN,3800
Chennai,Lucknow,3400
Chennai,Rajahmundry,3600
Chennai,Jodhpur,3600
Kishangarh,Lucknow,3900
Kishangarh,Indore,2600
Kishangarh,Surat,3100
Kishangarh,Hyderabad,3800
Kishangarh,Mumbai,4000
Kishangarh,MIHAN,2700
Kishangarh,Pune,2200
Kishangarh,Nagpur,2700
Kishangarh,Delhi,3500
Kishangarh,Ahmedabad,2600
Darbhanga,Hyderabad,3900
Darbhanga,Kolkata,3500
Darbhanga,Delhi,2700
Darbhanga,Ahmedabad,3000
Darbhanga,Mumbai,3100
Darbhanga,Bengaluru,2100
Belgaum,Jodhpur,2100
Belgaum,Bengaluru,2400
Belgaum,Pune,2600
Belgaum,Hyderabad,2900
Belgaum,Kadapa,3500
Belgaum,Mysore,3000
Belgaum,Mumbai,3600
Belgaum,Tirupati,2800
Belgaum,MIHAN,2900
Belgaum,Ahmedabad,3300
Belgaum,Surat,3100
Belgaum,Delhi,3900
Belgaum,Nagpur,3900
Belgaum,Indore,2300
Belgaum,Jaipur,3400
Bhubaneswar,Mumbai,3000
Bhubaneswar,Hyderabad,4200
Bhubaneswar,Kolkata,4300
Bhubaneswar,Delhi,3100
Bhubaneswar,Bengaluru,3200
Bhubaneswar,Pune,2900
Bhubaneswar,Varanasi,2500
Bhubaneswar,Ranchi,2800
Bhubaneswar,Jharsuguda,3400
Bhubaneswar,Visakhapatnam,3300
Bhubaneswar,Patna,3800
Bhubaneswar,Ahmedabad,3400
Bhubaneswar,Allahabad,2800
Bhubaneswar,Raipur,2600
Bhubaneswar,Chennai,2700
Bhubaneswar,Kochi,3800
Bhubaneswar,Guwahati,2300
Bhubaneswar,Surat,3700
Bhubaneswar,Dehradun,2500
Bhubaneswar,Jaipur,3800
Surat,Hyderabad,4000
Surat,Bengaluru,3100
Surat,Delhi,3900
Surat,Goa,2400
Surat,Kolkata,2700
Surat,Bhuj,2100
Surat,Belgaum,2200
Surat,Mumbai,2500
Surat,Udaipur,2300
Surat,Diu,2000
Surat,Jaipur,2700
Surat,Bhopal,2200
Surat,Pune,2800
Surat,Chennai,2400
Surat,Bhubaneswar,3000
Surat,Kishangarh,3400
Surat,Jaisalmer,2400
Surat,Jamnagar,3200
Surat,Patna,3200
Surat,Indore,3800
Surat,Chandigarh,2400
Bilaspur,Allahabad,3000
Bilaspur,Jabalpur,3600
Kullu,Dehradun,5900
Kullu,Shimla,6200
Kullu,Chandigarh,6700
Kullu,Delhi,7400
Kullu,Amritsar,5500
Kullu,Jaipur,6400
Shillong,Guwahati,2500
Shillong,Kolkata,3200
Shillong,Silchar,2300
Shillong,Dimapur,3300
Shillong,Aizwal,2800
Shillong,Lilabari,5700
Shillong,Imphal,3700
Shillong,Dibrugarh,5900
Shillong,Agartala,2900
Shillong,Delhi,2900
Shillong,Passighat,2300
Imphal,Guwahati,2400
Imphal,Dibrugarh,5900
Imphal,Agartala,3300
Imphal,Kolkata,3600
Imphal,Aizwal,2200
Imphal,Tezu,5700
Imphal,Dimapur,3000
Imphal,Silchar,2600
Imphal,Delhi,3200
Imphal,Hyderabad,2500
Imphal,Shillong,3100
Imphal,Bengaluru,2700
Bikaner,Ahmedabad,2900
Bikaner,Delhi,3300
Bikaner,Jaipur,3500
Nagpur,Indore,3000
Nagpur,Pune,2500
Nagpur,Goa,3700
Nagpur,Kolkata,2800
Nagpur,Hyderabad,4100
Nagpur,Delhi,3000
Nagpur,Nasik,2300
Nagpur,Lucknow,3000
Nagpur,Mumbai,3400
Nagpur,Ahmedabad,2900
Nagpur,Bengaluru,3500
Nagpur,Raipur,3400
Nagpur,Shirdi Airport,3400
Nagpur,Chennai,3200
Nagpur,Nanded,3400
Nagpur,Allahabad,2300
Nagpur,Belgaum,3500
Nagpur,Kishangarh,3600
Nagpur,Kochi,3100
MIHAN,Goa,3600
MIHAN,Kolkata,3400
MIHAN,Delhi,2600
MIHAN,Mumbai,3400
MIHAN,Bengaluru,2300
MIHAN,Pune,2500
MIHAN,Raipur,2600
MIHAN,Hyderabad,3100
MIHAN,Lucknow,3800
MIHAN,Ahmedabad,2300
MIHAN,Indore,2300
MIHAN,Chennai,3400
MIHAN,Allahabad,2100
MIHAN,Shirdi Airport,2600
MIHAN,Nasik,2400
MIHAN,Kishangarh,3700
MIHAN,Nanded,3600
Kolhapur,Mumbai,4000
Kolhapur,Hyderabad,3200
Kolhapur,Bengaluru,2600
Kolhapur,Tirupati,3700
Kolhapur,Ahmedabad,2400
Agra,Khajuraho,4100
Agra,Varanasi,3700
Agra,Bengaluru,3500
Agra,Hyderabad,3600
Agra,Mumbai,3400
Agra,Ahmedabad,2800
Agra,Bhopal,2300
Agra,Jaipur,3300
Agra,Lucknow,3700
Ranchi,Delhi,3700
Ranchi,Mumbai,2800
Ranchi,Bengaluru,2300
Ranchi,Kolkata,3500
Ranchi,Bhubaneswar,2600
Ranchi,Hyderabad,3500
Ranchi,Lucknow,2700
Ranchi,Patna,2400
Ranchi,Pune,3400
Ranchi,Chennai,3100
Ranchi,Goa,2500
Ranchi,Jaipur,2200
Ranchi,Raipur,2600
Ranchi,Ahmedabad,2200
Chandigarh,Srinagar,4800
Chandigarh,Kangra,2600
Chandigarh,Hyderabad,2400
Chandigarh,Delhi,3100
Chandigarh,Mumbai,3600
Chandigarh,Leh,6400
Chandigarh,Ahmedabad,2500
Chandigarh,Kolkata,2800
Chandigarh,Pune,3200
Chandigarh,Lucknow,3000
Chandigarh,Jaipur,2200
Chandigarh,Kullu,7000
Chandigarh,Bengaluru,2100
Chandigarh,Patna,3200
Chandigarh,Indore,3000
Chandigarh,Chennai,2700
Chandigarh,Goa,3200
Mangalore,Mumbai,4100
Mangalore,Bengaluru,2200
Mangalore,Mysore,2800
Mangalore,Hyderabad,3100
Mangalore,Kochi,3600
Mangalore,Chennai,2500
Mangalore,Hubli,2500
Mangalore,Coimbatore,3200
Mangalore,Delhi,3800
Mangalore,Pune,3600
Coimbatore,Hyderabad,3800
Coimbatore,Delhi,2900
Coimbatore,Mumbai,4000
Coimbatore,Ahmedabad,3500
Coimbatore,Bengaluru,2300
Coimbatore,Pune,3900
Coimbatore,Tirupati,2900
Coimbatore,Chennai,2600
Coimbatore,Kolkata,3300
Coimbatore,Patna,3400
Coimbatore,Kochi,2700
Coimbatore,Goa,3200
Kalaburgi (Gulbarga),Tirupati,2100
Kalaburgi (Gulbarga),Mumbai,2900
Kalaburgi (Gulbarga),Bengaluru,2600
Port Blair,Bengaluru,6800
Port Blair,Chennai,7300
Port Blair,Delhi,6800
Port Blair,Visakhapatnam,6100
Port Blair,Kolkata,6500
Port Blair,Hyderabad,6000
Port Blair,Mumbai,7400
Jharsuguda,Bengaluru,2900
Jharsuguda,Hyderabad,2400
Jharsuguda,Delhi,3200
Jharsuguda,Mumbai,2400
Jharsuguda,Kolkata,2800
Jharsuguda,Bhubaneswar,2500
Jharsuguda,Raipur,2600
Jharsuguda,Chennai,2600
Jharsuguda,Lucknow,2400
Calicut,Chennai,3000
Calicut,Mumbai,2600
Calicut,Delhi,2900
Calicut,Kannur International Airport,2800
Calicut,Hyderabad,2500
Calicut,Kochi,3000
Calicut,Bengaluru,3200
Silchar,Aizwal,2900
Silchar,Kolkata,3200
Silchar,Guwahati,2500
Silchar,Imphal,3400
Silchar,Shillong,2200
Silchar,Delhi,3500
Kannur,Hyderabad,3600
Kannur,Thiruvananthapuram,2400
Kannur,Mumbai,3600
Kannur,Bengaluru,2500
Kannur,Kochi,2900
Kannur,Chennai,2500
Kannur,Hubli,3500
Kannur,Calicut,3500
Kannur,Goa,2200
Kannur,Delhi,4100
Kannur,Ahmedabad,3900
Vadodara,Hyderabad,2600
Vadodara,Delhi,3700
Vadodara,Mumbai,3600
Vadodara,Bengaluru,3300
Vadodara,Pune,2200
Vadodara,Chennai,3300
Vadodara,Goa,3400
Vadodara,Jaipur,3300
Vadodara,Indore,3800
Vadodara,MIHAN,3500
Vadodara,Nagpur,2300
Bhuj,Ahmedabad,2300
Bhuj,Surat,2500
Bhuj,Delhi,3100
Bhuj,Mumbai,3200
Allahabad,Delhi,4000
Allahabad,Bilaspur,2200
Allahabad,Hyderabad,3900
Allahabad,Bhubaneswar,3500
Allahabad,Lucknow,3300
Allahabad,Mumbai,3900
Allahabad,Bengaluru,3600
Allahabad,Raipur,2100
Allahabad,Pune,3500
Allahabad,Bhopal,2400
Allahabad,Kolkata,3800
Allahabad,Nagpur,3300
Allahabad,MIHAN,2500
Allahabad,Dehradun,3300
Allahabad,Gorakhpur,2600
Allahabad,Patna,3500
Allahabad,Indore,3700
Raipur,Nagpur,3000
Raipur,Visakhapatnam,3900
Raipur,Jharsuguda,2800
Raipur,Delhi,2400
Raipur,Hyderabad,2800
Raipur,Kolkata,3200
Raipur,Lucknow,3500
Raipur,Mumbai,2700
Raipur,Ahmedabad,3700
Raipur,Bengaluru,3200
Raipur,Indore,2800
Raipur,Allahabad,3500
Raipur,Pune,3900
Raipur,Chennai,3900
Raipur,Bhopal,3300
Raipur,MIHAN,3400
Raipur,Ranchi,2500
Raipur,Bhubaneswar,3300
Raipur,Goa,3500
Raipur,Jaipur,3300
Madurai,Chennai,3500
Madurai,Hyderabad,3800
Madurai,Delhi,3500
Madurai,Kochi,2900
Madurai,Mumbai,3600
Madurai,Bengaluru,2900
Madurai,Tirupati,3000
Gaya,Varanasi,2100
Gaya,Delhi,3400
Gaya,Kolkata,4100
Leh,Delhi,5900
Leh,Jammu,5700
Leh,Srinagar,6600
Leh,Chandigarh,6000
Leh,Mumbai,6700
Gorakhpur,Delhi,3200
Gorakhpur,Lucknow,2500
Gorakhpur,Hyderabad,2800
Gorakhpur,Mumbai,3000
Gorakhpur,Allahabad,2300
Gorakhpur,Kanpur,2600
Gorakhpur,Bengaluru,3400
Gorakhpur,Kolkata,3500
Gorakhpur,Varanasi,3600
Gorakhpur,Ahmedabad,2800
Visakhapatnam,Bengaluru,3900
Visakhapatnam,Bhubaneswar,2500
Visakhapatnam,Delhi,3700
Visakhapatnam,Mumbai,3900
Visakhapatnam,Port Blair,6300
Visakhapatnam,Hyderabad,3600
Visakhapatnam,Vijayawada,3800
Visakhapatnam,Kadapa,3800
Visakhapatnam,Kochi,2500
Visakhapatnam,Rajahmundry,2700
Visakhapatnam,Tirupati,2300
Visakhapatnam,Chennai,3800
Visakhapatnam,Kolkata,3000
Visakhapatnam,Jharsuguda,2600
Visakhapatnam,Pune,3900
Agartala,Bengaluru,2700
Agartala,Kolkata,3500
Agartala,Imphal,2900
Agartala,Guwahati,2800
Agartala,Delhi,3700
Agartala,Dibrugarh,6800
Agartala,Aizwal,2300
Agartala,Hyderabad,3500
Agartala,Shillong,2300
Agartala,Jorhat,6500
Rupsi,Guwahati,2400
Rupsi,Kolkata,3600
Lilabari,Tezpur,6800
Lilabari,Kolkata,6400
Lilabari,Shillong,6900
Lilabari,Guwahati,5900
Lilabari,Passighat,6700
Dimapur,Guwahati,3200
Dimapur,Kolkata,2800
Dimapur,Shillong,2500
Dimapur,Imphal,2200
Dimapur,Delhi,4000
Dimapur,Dibrugarh,5700
Jorhat,Guwahati,6700
Jorhat,Kolkata,7400
Jorhat,Delhi,6300
Jorhat,Tezu,7100
Jorhat,Silchar,6000
Jorhat,Agartala,6900
Jammu,Srinagar,4500
Jammu,Delhi,3900
Jammu,Mumbai,4600
Jammu,Gwalior,3900
Jammu,Leh,5700
